Locality,Zip Code,Type of Property,Subtype of Property,Price,Type of Sale,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Any Fireplace ?,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url
Duffel,2570,House,house,889000,for-sale,5,335,1,0,0,0,,0,,0,,,1988.0,B,177.0,Good,https://www.immoweb.be/en/classified/house/for-sale/duffel/2570/20300516
Aye,6900,House,house,695000,for-sale,5,426,0,0,0,0,,1,1645.0,0,1645,4.0,,B,168.0,,https://www.immoweb.be/en/classified/house/for-sale/aye/6900/20161561
Gent,9000,House,house,499000,for-sale,4,169,0,0,0,0,,0,,0,130,4.0,1930.0,D,384.0,Good,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20312375
Pulderbos,2242,House,house,649000,for-sale,4,202,1,0,1,1,30.0,1,622.0,0,1205,4.0,1991.0,C,288.0,Good,https://www.immoweb.be/en/classified/house/for-sale/pulderbos/2242/20251775
Liege,4020,House,house,99000,for-sale,2,71,0,0,0,0,,0,,0,50,3.0,1899.0,C,255.0,Good,https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20199118
Herchies,7050,House,house,630000,for-sale,4,940,0,0,0,1,32.0,1,2820.0,0,3758,3.0,,C,179.0,Good,https://www.immoweb.be/en/classified/house/for-sale/herchies/7050/20268956
Schaerbeek,1030,House,apartment-block,945000,for-sale,5,450,0,0,0,1,2.0,0,,0,,2.0,1914.0,G,,,https://www.immoweb.be/en/classified/apartment-block/for-sale/schaerbeek/1030/20302019
Ocquier,4560,House,house,119000,for-sale,1,56,0,0,0,0,,0,,0,174,3.0,,G,851.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/ocquier/4560/20297217
Gent,9000,Apartment,apartment,375000,for-sale,2,94,0,0,0,0,,0,,0,,,1970.0,C,241.0,,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20282817
Gent,9000,Apartment,apartment,419000,for-sale,2,155,0,0,0,0,,0,,0,,2.0,,D,393.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20258517
Woluwe-saint-lambert,1200,Apartment,apartment,195000,for-sale,1,64,1,0,0,1,14.0,0,,0,,2.0,1972.0,E,245.0,To renovate,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20234981
Molenbeek-saint-jean,1080,House,apartment-block,950000,for-sale,6,300,1,0,0,1,34.0,0,,0,260,2.0,1930.0,F,320.0,,https://www.immoweb.be/en/classified/apartment-block/for-sale/molenbeek-saint-jean/1080/20274478
Schaerbeek,1030,House,apartment-block,750000,for-sale,6,398,0,0,0,1,12.0,1,42.0,0,140,2.0,,C,144.0,Just renovated,https://www.immoweb.be/en/classified/apartment-block/for-sale/schaerbeek/1030/20295577
Wenduine,8420,Apartment,ground-floor,198500,for-sale,1,46,1,0,0,0,,0,,0,,,1995.0,C,238.0,Good,https://www.immoweb.be/en/classified/ground-floor/for-sale/wenduine/8420/20265019
Gembloux,5030,House,house,699000,for-sale,4,208,1,0,0,0,,0,,0,1130,,2024.0,,,Good,https://www.immoweb.be/en/classified/house/for-sale/gembloux/5030/20308295
Willebroek,2830,House,house,299000,for-sale,3,165,0,0,0,0,,0,,0,307,2.0,,E,456.0,Good,https://www.immoweb.be/en/classified/house/for-sale/willebroek/2830/20295502
Auderghem,1160,House,house,569000,for-sale,4,224,0,0,0,0,,1,50.0,0,150,2.0,,F,300.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/20246458
Uccle,1180,House,villa,1795000,for-sale,5,468,0,0,1,0,,0,,0,1178,4.0,1974.0,D,208.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/20300341
Dinant,5500,House,town-house,149000,for-sale,3,150,0,0,0,1,20.0,1,78.0,0,78,,,D,311.0,Good,https://www.immoweb.be/en/classified/town-house/for-sale/dinant/5500/20297670
Bruxelles,1000,House,house,675000,for-sale,6,365,0,0,0,1,17.0,0,,0,136,2.0,1900.0,G,798.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/20245879
Destelbergen,9070,House,house,349000,for-sale,3,126,0,0,0,0,,0,,0,492,,1850.0,C,226.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/destelbergen/9070/20294063
Hastiere,5540,House,house,159000,for-sale,3,85,0,0,1,0,,1,865.0,0,865,4.0,,E,418.0,Good,https://www.immoweb.be/en/classified/house/for-sale/hastiere/5540/20297675
Halle,1500,House,mansion,945000,for-sale,4,465,1,0,0,0,,0,,0,363,2.0,1780.0,D,345.0,Good,https://www.immoweb.be/en/classified/mansion/for-sale/halle/1500/20283570
Sint-jans-molenbeek,1080,Apartment,apartment,260000,for-sale,2,90,1,0,0,1,8.0,0,,0,,,1994.0,E,241.0,,https://www.immoweb.be/en/classified/apartment/for-sale/sint-jans-molenbeek/1080/20267509
Overijse,3090,House,bungalow,675000,for-sale,5,210,1,0,0,1,45.0,1,350.0,0,819,4.0,1986.0,C,204.0,Good,https://www.immoweb.be/en/classified/bungalow/for-sale/overijse/3090/20272031
Balen,2490,Apartment,ground-floor,245000,for-sale,2,95,1,0,0,1,8.0,1,53.0,0,,2.0,2022.0,,,,https://www.immoweb.be/en/classified/ground-floor/for-sale/balen/2490/20283091
Sint-pieters-leeuw,1600,House,mansion,945000,for-sale,4,465,1,0,0,0,,0,,0,363,2.0,1780.0,D,345.0,Good,https://www.immoweb.be/en/classified/mansion/for-sale/sint-pieters-leeuw/1600/20283569
Eeklo,9900,Apartment,apartment,285000,for-sale,2,100,0,0,0,0,,0,,0,,,2005.0,B,140.0,,https://www.immoweb.be/en/classified/apartment/for-sale/eeklo/9900/20265195
Mechelen,2800,House,mixed-use-building,749000,for-sale,4,386,1,0,0,1,49.0,0,,0,168,2.0,1968.0,C,251.0,Good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/mechelen/2800/20184228
Antwerpen,2000,Apartment,apartment,380000,for-sale,1,60,1,0,0,1,10.0,0,,0,,,2019.0,A,90.0,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20284625
Ohain,1380,House,villa,1770000,for-sale,5,525,1,0,1,0,,0,,0,17000,4.0,1950.0,C,254.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/ohain/1380/20302586
Evere,1140,Apartment,penthouse,219000,for-sale,1,50,0,0,0,1,30.0,0,,0,,3.0,2009.0,G,382.0,Good,https://www.immoweb.be/en/classified/penthouse/for-sale/evere/1140/20217665
Grand-leez,5031,House,house,699000,for-sale,4,208,1,0,0,0,,0,,0,1130,,2024.0,,,Good,https://www.immoweb.be/en/classified/house/for-sale/grand-leez/5031/20308296
Melen,4633,House,villa,599000,for-sale,3,300,1,0,0,0,,1,1837.0,0,2165,4.0,1999.0,B,166.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/melen/4633/20257234
Brussels,1000,House,house,545000,for-sale,4,207,0,0,0,1,23.0,0,,0,,2.0,1918.0,F,337.0,Good,https://www.immoweb.be/en/classified/house/for-sale/brussels/1000/20283818
Gent,9050,Apartment,apartment,279000,for-sale,2,95,1,0,0,0,,1,1.0,0,,3.0,,E,410.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9050/20293239
Grace-hollogne,4460,House,bungalow,240000,for-sale,2,133,1,0,0,1,40.0,1,250.0,1,406,3.0,1960.0,E,425.0,Just renovated,https://www.immoweb.be/en/classified/bungalow/for-sale/grace-hollogne/4460/20118342
Schaarbeek,1030,Apartment,apartment,299000,for-sale,2,120,1,0,0,1,7.0,0,,0,,2.0,1958.0,D,200.0,To be done up,https://www.immoweb.be/en/classified/apartment/for-sale/schaarbeek/1030/20256293
Gentbrugge,9050,Apartment,apartment,268800,for-sale,2,73,1,0,0,1,2.0,0,,0,,2.0,1955.0,C,214.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/gentbrugge/9050/20282941
Roeselare,8800,House,villa,750000,for-sale,3,276,0,0,0,0,,0,,0,2525,4.0,1998.0,C,273.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/roeselare/8800/20277000
Bruxelles,1000,Apartment,apartment,700000,for-sale,4,210,1,0,0,1,24.0,0,,0,,2.0,,D,,Good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20303860
Sint-truiden,3800,House,house,550000,for-sale,3,230,0,0,0,1,19.0,1,25.0,0,98,2.0,1899.0,A,88.0,As new,https://www.immoweb.be/en/classified/house/for-sale/sint-truiden/3800/20304796
Gougnies,6280,House,house,180000,for-sale,3,154,0,0,0,0,,0,,0,277,3.0,,,,Good,https://www.immoweb.be/en/classified/house/for-sale/gougnies/6280/20309723
Antwerpen,2018,Apartment,apartment,375000,for-sale,3,124,0,0,0,1,4.0,0,,0,,,1965.0,C,253.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20284664
Woluwe-saint-lambert,1200,Apartment,penthouse,449000,for-sale,2,115,1,0,0,1,25.0,0,,0,,3.0,2005.0,D,188.0,As new,https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-lambert/1200/20113339
Laakdal,2430,House,villa,559000,for-sale,4,240,1,0,0,1,20.0,1,2000.0,0,2200,4.0,2017.0,A,26.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/laakdal/2430/20269324
Forest,1190,House,town-house,930000,for-sale,5,324,1,0,0,1,55.0,1,120.0,0,203,2.0,1930.0,E,248.0,Good,https://www.immoweb.be/en/classified/town-house/for-sale/forest/1190/20284460
Sint-idesbald,8670,House,villa,890000,for-sale,4,228,1,0,0,0,,0,,0,472,4.0,1958.0,D,337.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/sint-idesbald/8670/20295675
Sint-idesbald,8670,House,villa,765000,for-sale,8,285,1,0,0,0,,0,,0,1016,4.0,1936.0,C,248.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/sint-idesbald/8670/20229448
Ronse,9600,House,house,585000,for-sale,4,205,0,0,0,0,,0,,0,1272,4.0,2019.0,A,49.0,Good,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20270326
Rixensart,1330,House,house,795000,for-sale,5,300,1,0,0,1,40.0,1,1900.0,0,2026,4.0,1981.0,C,188.0,As new,https://www.immoweb.be/en/classified/house/for-sale/rixensart/1330/20269177
Gent,9000,Apartment,apartment,385000,for-sale,2,94,0,0,0,0,,0,,0,,,1970.0,B,182.0,,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20282815
Etterbeek,1040,Apartment,apartment,1100000,for-sale,3,200,1,1,0,1,55.0,0,,0,,2.0,,C,144.0,,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20302492
Etterbeek,1040,House,house,545000,for-sale,4,207,0,0,0,1,23.0,0,,0,,2.0,1918.0,F,337.0,Good,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/20283576
Zulzeke,9690,House,villa,555000,for-sale,4,550,0,0,0,0,,0,,0,7076,4.0,1970.0,E,453.0,To be done up,https://www.immoweb.be/en/classified/villa/for-sale/zulzeke/9690/20268845
Eernegem,8480,House,house,299000,for-sale,3,129,0,0,0,0,,1,165.0,0,290,2.0,1935.0,A,94.0,Good,https://www.immoweb.be/en/classified/house/for-sale/eernegem/8480/20309348
Liege,4020,House,house,99000,for-sale,2,80,1,0,0,0,,0,,0,56,3.0,,E,356.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20187600
Herenthout,2270,House,mixed-use-building,599000,for-sale,5,350,1,0,1,0,,0,,0,3313,4.0,1992.0,C,204.0,,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herenthout/2270/20250643
Bonheiden,2820,House,house,944000,for-sale,5,340,1,0,0,0,,0,,0,835,4.0,2023.0,A,5.0,,https://www.immoweb.be/en/classified/house/for-sale/bonheiden/2820/20295082
Rhode-saint-genese,1640,House,house,399000,for-sale,3,150,1,0,1,1,52.0,1,415.0,0,560,3.0,1954.0,C,282.0,As new,https://www.immoweb.be/en/classified/house/for-sale/rhode-saint-genese/1640/20309663
Malmedy,4960,House,mixed-use-building,595000,for-sale,7,390,1,0,0,1,50.0,1,2442.0,1,2442,3.0,1947.0,C,208.0,Good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/malmedy/4960/20179306
Seneffe-gouy-lez-pieton,6181,House,house,135000,for-sale,3,101,0,0,0,0,,1,229.0,0,229,2.0,,G,678.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/seneffe-gouy-lez-pieton/6181/20022569
Dilbeek,1700,House,house,895000,for-sale,6,250,1,0,0,0,,0,,0,2500,4.0,1974.0,E,466.0,Good,https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1700/20196546
Bruxelles,1000,House,apartment-block,5075000,for-sale,,1160,0,0,0,0,,0,,0,,2.0,1900.0,D,,As new,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/20312502
Hoegaarden,3320,House,mixed-use-building,895000,for-sale,6,540,1,0,1,1,60.0,1,1460.0,0,1460,4.0,1937.0,B,160.0,Just renovated,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/hoegaarden/3320/20303268
Ronse,9600,House,house,145000,for-sale,2,122,0,0,0,0,,0,,0,188,,1973.0,F,587.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20195237
Evergem,9940,House,villa,899000,for-sale,3,282,0,0,0,0,,0,,0,14083,4.0,2006.0,B,157.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/evergem/9940/20196307
Gent,9000,Apartment,apartment,227500,for-sale,2,89,0,0,0,0,,0,,0,,,1967.0,B,131.0,,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20308694
Liege,4000,House,house,230000,for-sale,6,190,1,0,0,1,20.0,1,170.0,0,377,3.0,1910.0,G,803.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20291836
Kapellen,2950,Apartment,apartment,699000,for-sale,3,213,1,0,0,1,20.0,0,,0,,,1994.0,A,89.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/kapellen-2950/2950/20220047
Dison,4820,House,house,999000,for-sale,3,240,1,0,0,1,30.0,1,14000.0,0,14739,4.0,,B,153.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/dison/4820/20209971
Gent,9000,Apartment,duplex,630000,for-sale,3,200,0,0,0,1,45.0,0,,0,,,1961.0,B,192.0,Good,https://www.immoweb.be/en/classified/duplex/for-sale/gent/9000/20200861
Antwerpen,2018,Apartment,apartment,615000,for-sale,4,200,1,0,0,1,11.0,0,,0,,,1981.0,B,126.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20207675
Antwerpen,2020,House,house,985000,for-sale,3,395,1,0,0,0,,0,,0,238,,1948.0,C,281.0,Good,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2020/20301947
Uccle,1180,House,apartment-block,640000,for-sale,3,290,1,0,0,0,,0,,0,,2.0,,,,To be done up,https://www.immoweb.be/en/classified/apartment-block/for-sale/uccle/1180/20310428
Putte,2580,House,house,675000,for-sale,6,302,1,0,0,0,,0,,0,3555,,1979.0,C,252.0,Good,https://www.immoweb.be/en/classified/house/for-sale/putte/2580/20282770
Mariakerke,9030,Apartment,apartment,227500,for-sale,2,89,0,0,0,0,,0,,0,,,1967.0,B,131.0,,https://www.immoweb.be/en/classified/apartment/for-sale/mariakerke/9030/20308614
Florenville-chassepierre,6820,House,house,270000,for-sale,4,200,1,0,0,1,40.0,0,,0,197,2.0,1900.0,E,402.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/florenville-chassepierre/6820/20292120
Ivoz-ramet,4400,House,house,149000,for-sale,2,60,0,0,0,1,43.0,1,350.0,0,343,3.0,,D,303.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/ivoz-ramet/4400/20068440
Lochristi,9080,House,villa,1140000,for-sale,4,470,0,0,0,0,,0,,0,1841,4.0,1990.0,B,165.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/lochristi/9080/20272962
Wavre,1301,House,house,795000,for-sale,4,215,1,0,0,0,,1,760.0,1,1050,3.0,2017.0,B,88.0,As new,https://www.immoweb.be/en/classified/house/for-sale/wavre/1301/20307385
Bruxelles,1000,Apartment,apartment,745000,for-sale,3,215,0,0,0,1,30.0,0,,0,,,,D,167.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11398207
Oostende,8400,Apartment,apartment,339000,for-sale,2,100,1,0,0,0,,0,,0,,2.0,1966.0,B,197.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20308148
Tilleur,4420,House,apartment-block,159000,for-sale,1,68,0,0,0,0,,0,,0,68,2.0,1968.0,D,339.0,To renovate,https://www.immoweb.be/en/classified/apartment-block/for-sale/tilleur/4420/11438598
Bruxelles,1000,Apartment,apartment,1097500,for-sale,4,212,1,0,0,1,19.0,0,,0,,2.0,1974.0,C,,Good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20089941
Heist-op-den-berg,2223,House,mixed-use-building,1150000,for-sale,3,673,1,0,0,0,,0,,0,1252,4.0,1972.0,D,387.0,Good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/heist-op-den-berg/2223/20170687
Etterbeek,1040,House,apartment-block,895000,for-sale,5,356,0,0,0,1,20.0,0,,0,,2.0,1930.0,C,139.0,Good,https://www.immoweb.be/en/classified/apartment-block/for-sale/etterbeek/1040/20308186
Aalter,9880,Apartment,apartment,155000,for-sale,2,90,0,0,0,0,,0,,0,,,,D,321.0,To renovate,https://www.immoweb.be/en/classified/apartment/for-sale/aalter/9880/20296170
Paliseul,6850,House,house,165000,for-sale,3,156,1,0,0,0,,0,,0,299,3.0,1851.0,G,525.0,Good,https://www.immoweb.be/en/classified/house/for-sale/paliseul/6850/20179281
Genappe-glabais,1473,House,house,1245000,for-sale,6,427,1,0,0,1,60.0,1,1500.0,1,1787,4.0,2003.0,B,92.0,As new,https://www.immoweb.be/en/classified/house/for-sale/genappe-glabais/1473/20175549
Antwerpen,2000,Apartment,apartment,1240000,for-sale,3,221,0,0,0,1,14.0,0,,0,,,2020.0,A,42.0,As new,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/20130286
Brugge,8200,Apartment,ground-floor,795000,for-sale,3,200,0,0,0,0,,0,,0,,2.0,2009.0,B,125.0,As new,https://www.immoweb.be/en/classified/ground-floor/for-sale/brugge/8200/11480141
Merksplas,2330,House,house,995000,for-sale,6,411,1,0,1,0,,0,,1,3780,4.0,2003.0,B,196.0,Good,https://www.immoweb.be/en/classified/house/for-sale/merksplas/2330/20289172
De-panne,8660,Apartment,apartment,215000,for-sale,1,57,0,0,0,1,6.0,0,,0,,,,B,168.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/de-panne/8660/20297535
Lede,9340,House,house,165000,for-sale,3,98,1,0,0,0,,0,,0,103,2.0,1953.0,F,800.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/20151536
Opglabbeek,3660,House,villa,649000,for-sale,4,282,0,0,0,0,,0,,0,2637,,1979.0,D,338.0,,https://www.immoweb.be/en/classified/villa/for-sale/opglabbeek/3660/20293501
Ottignies-louvain-la-neuve,1342,House,house,350000,for-sale,4,160,1,0,0,1,40.0,1,152.0,0,525,3.0,1918.0,D,306.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/ottignies-louvain-la-neuve/1342/20290037
Lommel,3920,Apartment,apartment,795000,for-sale,3,420,0,0,0,0,,0,,0,,,2003.0,B,187.0,As new,https://www.immoweb.be/en/classified/apartment/for-sale/lommel/3920/20142478
Gent,9000,House,house,359000,for-sale,3,126,1,0,0,0,,0,,0,370,,1977.0,C,298.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20290757
Dendermonde,9200,House,house,1250000,for-sale,4,400,0,0,0,0,,0,,0,3140,4.0,,C,264.0,As new,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/20251993
Auderghem,1160,Apartment,duplex,365000,for-sale,3,102,1,0,0,0,,0,,0,,,,F,324.0,,https://www.immoweb.be/en/classified/duplex/for-sale/auderghem/1160/20296606
Antwerpen,2000,House,mixed-use-building,169000,for-sale,1,57,1,0,0,0,,0,,0,80,2.0,,E,414.0,To be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/antwerpen/2000/20223024
Mechelen,2800,House,apartment-block,595000,for-sale,7,337,1,0,0,1,26.0,1,20.0,0,125,2.0,1902.0,B,167.0,Good,https://www.immoweb.be/en/classified/apartment-block/for-sale/mechelen/2800/20157767
Middelkerke,8430,House,house,369000,for-sale,4,186,0,0,0,0,,0,,0,998,,1966.0,F,1134.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/middelkerke/8430/20290725
Bruxelles,1000,House,house,540000,for-sale,5,250,0,0,0,0,,0,,0,60,3.0,1915.0,G,349.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/20305215
Heverlee,3001,House,mixed-use-building,1270000,for-sale,4,325,0,0,0,0,,0,,0,165,2.0,,B,174.0,As new,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/heverlee/3001/20278332
Knokke-heist,8301,Apartment,apartment,875000,for-sale,6,215,0,0,0,0,,0,,0,,,1936.0,F,616.0,To renovate,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8301/11224644
Bertem-leefdaal,3061,House,exceptional-property,629000,for-sale,3,201,1,0,0,1,32.0,1,300.0,0,507,4.0,2010.0,A,35.0,As new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/bertem-leefdaal/3061/20271504
Bruxelles,1000,Apartment,ground-floor,495000,for-sale,2,170,1,0,0,1,10.0,0,,0,,,,F,324.0,Good,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/20308598
Herstal,4040,House,house,169000,for-sale,2,118,1,0,0,0,,0,,0,175,2.0,1937.0,F,488.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/20177314
Assenede,9960,House,house,690000,for-sale,3,358,0,0,0,1,20.0,0,,0,1102,4.0,1980.0,C,293.0,As new,https://www.immoweb.be/en/classified/house/for-sale/assenede/9960/20304330
Etterbeek,1040,House,mixed-use-building,1600000,for-sale,9,720,0,0,0,0,,0,,0,,2.0,1970.0,,,To renovate,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/etterbeek/1040/20200626
Groot-bijgaarden,1702,Apartment,apartment,279000,for-sale,2,102,0,0,0,0,,0,,0,,,1976.0,F,761.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/groot-bijgaarden/1702/20275413
Oupeye,4680,House,house,99000,for-sale,2,92,1,0,0,1,20.0,0,,0,102,2.0,1899.0,F,473.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/oupeye/4680/20069785
Beyne-heusay,4610,House,house,169000,for-sale,2,75,1,0,0,1,36.0,1,20.0,0,133,2.0,1930.0,F,477.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/beyne-heusay/4610/11416193
Tournai,7500,Apartment,apartment,815900,for-sale,4,350,0,0,0,1,82.0,0,,0,,2.0,2022.0,A,,As new,https://www.immoweb.be/en/classified/apartment/for-sale/tournai/7500/20094854
Brussel,1000,Apartment,ground-floor,425000,for-sale,2,83,0,0,0,1,20.0,0,,0,,2.0,2026.0,A,,Good,https://www.immoweb.be/en/classified/ground-floor/for-sale/brussel/1000/20296188
Brugge,8000,Apartment,apartment,895000,for-sale,3,252,1,0,1,0,,1,85.0,0,,2.0,,C,244.0,As new,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/20096050
Antwerpen,2100,House,apartment-block,1750000,for-sale,20,565,1,0,0,0,,0,,0,,2.0,,A,89.0,As new,https://www.immoweb.be/en/classified/apartment-block/for-sale/antwerpen/2100/20278191
Knokke,8300,Apartment,apartment,895000,for-sale,3,240,1,0,0,1,60.0,0,,0,,2.0,1964.0,B,177.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11284284
Hechtel-eksel,3940,House,villa,795000,for-sale,4,808,0,0,0,0,,0,,1,33589,4.0,1975.0,C,279.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/hechtel-eksel/3940/20308646
Sombreffe,5140,House,house,324000,for-sale,4,135,1,0,0,0,,1,340.0,0,340,3.0,1919.0,C,252.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/sombreffe/5140/20210853
Flemalle,4400,House,house,120000,for-sale,1,45,0,0,0,0,,1,82.0,0,198,3.0,,G,564.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20029561
Roeselare,8800,House,house,169000,for-sale,5,148,0,0,0,0,,0,,0,152,,,C,278.0,Good,https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/20135508
Gent,9000,House,mansion,849000,for-sale,4,403,0,0,0,0,,0,,0,326,4.0,1907.0,D,303.0,As new,https://www.immoweb.be/en/classified/mansion/for-sale/gent/9000/20304187
Sint-truiden,3800,Apartment,penthouse,899000,for-sale,3,344,0,0,0,0,,0,,0,,,2010.0,B,138.0,As new,https://www.immoweb.be/en/classified/penthouse/for-sale/sint-truiden/3800/20101049
Molenbeek-saint-jean,1080,Apartment,apartment,145000,for-sale,1,55,0,0,0,1,13.0,0,,0,,,1967.0,C,149.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20284596
Vise,4602,House,house,149000,for-sale,3,97,1,0,0,1,19.0,0,,0,50,2.0,1850.0,B,120.0,As new,https://www.immoweb.be/en/classified/house/for-sale/vise/4602/20184408
Seraing,4100,House,house,170000,for-sale,1,63,1,0,0,1,20.0,1,45.0,0,159,2.0,1860.0,D,266.0,Good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20177313
Antwerpen,2018,House,house,850000,for-sale,4,217,1,0,0,0,,0,,0,,,,B,,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2018/20307880
Zele,9240,House,house,475000,for-sale,6,504,1,0,0,1,25.0,1,167.0,0,343,2.0,1955.0,F,656.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/zele/9240/20110682
Gent,9000,Apartment,apartment,970000,for-sale,3,265,1,0,1,0,,0,,0,,3.0,1994.0,B,110.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20138610
Seraing,4100,House,house,149900,for-sale,2,75,1,0,0,0,,1,45.0,0,110,3.0,1939.0,G,645.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/11440186
Ayeneux,4630,House,house,145000,for-sale,1,95,1,0,0,0,,0,,0,32,2.0,1875.0,E,409.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/ayeneux/4630/20143343
Watermael-boitsfort,1170,House,house,925000,for-sale,3,203,1,0,0,1,17.0,1,150.0,0,227,2.0,2024.0,A,28.0,As new,https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/20308062
Huldenberg,3040,House,villa,2100000,for-sale,5,623,1,0,1,1,1.0,1,1.0,1,10000,4.0,,B,161.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/huldenberg/3040/20180768
Jette,1090,Apartment,apartment,220000,for-sale,3,94,1,0,0,0,,0,,0,,,1973.0,D,202.0,To be done up,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20285659
Gent,9000,Apartment,apartment,970000,for-sale,3,266,0,0,0,0,,0,,0,,3.0,1994.0,B,110.0,As new,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20074439
