Locality,Zip Code,Type of Property,Subtype of Property,Price,Type of Sale,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Any Fireplace ?,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url
Brugge,8000,House,house,695000,for-sale,6,340,0,0,0,0,,0,,0,,4.0,,E,455.0,Good,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20083284
Belsele,9111,House,house,675000,for-sale,5,360,1,0,0,1,50.0,1,1900.0,0,2200,3.0,,,,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/belsele/9111/20297219
Brugge,8000,House,mansion,788000,for-sale,4,380,0,0,0,0,,0,,0,148,,,B,195.0,Good,https://www.immoweb.be/en/classified/mansion/for-sale/brugge/8000/20313655
Brugge,8000,House,house,695000,for-sale,6,340,0,0,0,0,,0,,0,,4.0,,E,455.0,Good,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20087965
Bruxelles,1120,House,apartment-block,565000,for-sale,4,215,0,0,1,1,22.0,1,105.0,0,,2.0,,G,793.0,Good,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1120/20268809
Comblain-au-pont,4171,House,house,150000,for-sale,3,104,1,0,0,1,15.0,1,15.0,0,193,4.0,1919.0,F,444.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/comblain-au-pont/4171/20119205
Ledeberg,9050,House,house,299000,for-sale,4,155,0,0,0,0,,0,,0,128,2.0,,C,247.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/ledeberg/9050/20308257
Manage,7170,House,house,119000,for-sale,4,165,0,0,0,0,,0,,0,90,3.0,1918.0,E,372.0,Good,https://www.immoweb.be/en/classified/house/for-sale/manage/7170/20301278
Lasne,1380,House,house,830000,for-sale,5,222,1,0,0,1,30.0,1,1850.0,0,2031,4.0,1930.0,C,251.0,Good,https://www.immoweb.be/en/classified/house/for-sale/lasne/1380/20266760
Knokke-heist,8300,Apartment,apartment,3950000,for-sale,5,200,1,0,0,0,,0,,0,,3.0,1957.0,B,196.0,As new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20102270
Gent,9000,House,house,299000,for-sale,4,155,0,0,0,0,,0,,0,128,2.0,,C,247.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20308254
Saint-ghislain-baudour,7331,House,house,180000,for-sale,3,192,0,0,0,0,,1,1500.0,0,1620,4.0,,G,516.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/saint-ghislain-baudour/7331/20301282
Liege-jupillesur-meuse,4020,House,mixed-use-building,155000,for-sale,3,120,0,0,0,0,,0,,0,90,3.0,,F,476.0,Good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/liege-jupillesur-meuse/4020/20301559
Liege,4020,House,apartment-block,99000,for-sale,3,109,0,0,0,1,14.0,1,140.0,0,198,2.0,1874.0,F,476.0,To renovate,https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4020/20136247
Wavre,1300,House,house,545000,for-sale,6,360,0,0,1,1,20.0,0,,0,1277,4.0,,D,329.0,,https://www.immoweb.be/en/classified/house/for-sale/wavre/1300/20231413
Forest,1190,House,house,765000,for-sale,5,360,0,0,0,1,18.0,1,500.0,0,820,3.0,1875.0,G,395.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/forest/1190/20150511
Knokke-heist,8300,House,exceptional-property,5995000,for-sale,8,900,1,0,0,0,,1,2690.0,1,2690,4.0,1999.0,,,Good,https://www.immoweb.be/en/classified/exceptional-property/for-sale/knokke-heist/8300/20191506
Ixelles,1050,House,mixed-use-building,899000,for-sale,5,253,0,0,0,0,,1,30.0,0,90,2.0,1900.0,F,293.0,Good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ixelles/1050/20230931
Koksijde,8670,House,house,675000,for-sale,4,373,0,0,1,0,,0,,0,566,4.0,,B,,,https://www.immoweb.be/en/classified/house/for-sale/koksijde/8670/20004129
Brussel,1020,House,villa,1050000,for-sale,6,391,1,0,0,1,51.0,0,,0,1592,4.0,1962.0,F,328.0,,https://www.immoweb.be/en/classified/villa/for-sale/brussel/1020/20053425
Sint-martens-latem,9831,House,country-cottage,3700000,for-sale,5,792,0,0,0,0,,0,,0,5007,9.0,1997.0,C,283.0,Good,https://www.immoweb.be/en/classified/country-cottage/for-sale/sint-martens-latem/9831/20108460
Antwerpen,2060,House,mixed-use-building,149000,for-sale,,67,0,0,0,1,10.0,1,10.0,0,73,3.0,1918.0,B,,Just renovated,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/antwerpen/2060/11393970
Mechelen,2812,House,exceptional-property,1199000,for-sale,6,850,0,0,0,0,,0,,0,800,4.0,1830.0,D,328.0,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/mechelen/2812/20311592
Villers-la-ville,1495,House,exceptional-property,947000,for-sale,5,320,1,0,1,1,100.0,1,1674.0,0,2114,4.0,1992.0,C,203.0,As new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/villers-la-ville/1495/20312470
Wetteren,9230,House,house,255000,for-sale,2,121,1,0,0,1,10.0,1,40.0,0,130,3.0,,F,552.0,Good,https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20283526
